ID,Título,Región,Categoría,Subcategoría,Fecha,Contenido,Contenido_Completo,Tipo_Fuente,Sección_Fuente,URL_Fuente,Longitud,Palabras,Oraciones,Legibilidad,Densidad_Semántica,Riqueza_Informacional,Score_Calidad,Keywords,Entidades,Temas,Tiene_HTML,Completo,Relevante,Grupo_Duplicado,Hash_Contenido,Timestamp_Procesamiento
news_edicion_tolima_7c1a2ba8,Edición 5 - Tolima,Tolima,comunicacion,ediciones_tolima,4 Nov 2020,Edición 5 - Tolima. En esta edición puedes encontrar:En la pandemia le cogieron confianza al Internet.Conoce la nueva granja solar en Espinal. Por qué hay cortes de energía?ya puedes comprar lo qu...,Edición 5 - Tolima. En esta edición puedes encontrar:En la pandemia le cogieron confianza al Internet.Conoce la nueva granja solar en Espinal. Por qué hay cortes de energía?ya puedes comprar lo que sueñas en la tienda Celsia.,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/05/NOTICIAS_CELSIA_TOLIMA_NOVIEMBRE_2020.pdf,230,37,5,0.5,1.0,0.55,0.849,"tolima, encontrar, internet, edición, celsia, puedes, edicio, solar, pandemia","tolima, espinal, celsia","tecnologia_digital, energia_renovable",False,True,True,,d3abc50d0565,2025-10-15T22:36:56.821653
news_edicion_tolima_78de88e1,Edición 4 - Tolima,Tolima,comunicacion,ediciones_tolima,7 Sep 2020,"Edición 4 - Tolima. En esta edición puedes encontrar: Conoces los techos solares que hay en el Tolima?.75.400 clientes del Tolima del estrato 3, empezaran a recibir el subsidio del 15% en su energí...","Edición 4 - Tolima. En esta edición puedes encontrar: Conoces los techos solares que hay en el Tolima?.75.400 clientes del Tolima del estrato 3, empezaran a recibir el subsidio del 15% en su energía.Descubre cuáles son los más buscados por gastones, por si los conoces.La tarifa de energía está congelada desde marzo y hasta diciembre.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/05/Noticias_Celsia_Tolima_septiembre2020.pdf,342,55,6,0.5,1.0,0.662,0.895,"tolima, energi, tarifa, edición, conoces, puedes, edicio, solar, cliente",tolima,"facturacion_tarifas, servicio_cliente, energia_renovable",False,True,True,,b61202bdf5df,2025-10-15T22:36:56.822455
news_edicion_tolima_dd28051c,Edición 3 - Tolima,Tolima,comunicacion,ediciones_tolima,18 Jun 2020,Edición 3 - Tolima. En esta edición puedes encontrar:Te mostramos cómo corroborar la tarifa congelada.Conoce los protocolos de atención en los centro de servicio.Ahorra tiempo y sigue estos 5 cons...,Edición 3 - Tolima. En esta edición puedes encontrar:Te mostramos cómo corroborar la tarifa congelada.Conoce los protocolos de atención en los centro de servicio.Ahorra tiempo y sigue estos 5 consejos antes de comunicarte con nosotros.La solidaridad nuestra mejor energía.,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/05/NOTICIAS_DE_LA_LUZ_TOLIMA_JUNIO_2020.pdf,277,39,5,0.5,1.0,0.542,0.872,"tolima, encontrar, servicio, tarifa, mostramos, edición, puedes, edicio",tolima,"servicio_cliente, facturacion_tarifas",False,True,True,,d573b8716fdb,2025-10-15T22:36:56.823144
news_edicion_tolima_78cdbd35,Edición 2 - Tolima,Tolima,comunicacion,ediciones_tolima,11 Mar 2020,"Edición 2 - Tolima. En esta edición puedes encontrar:Conoce el mejor líder de Celsia para nuestros clientes del Tolima. Querer es poder!, grupo de líderes ahorro 20% en sus consumos.","Edición 2 - Tolima. En esta edición puedes encontrar:Conoce el mejor líder de Celsia para nuestros clientes del Tolima. Querer es poder!, grupo de líderes ahorro 20% en sus consumos.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/05/Ed_36_Noticias_de_la_Luz_Tolima-1.pdf,186,30,4,0.5,1.0,0.572,0.829,"conoce, tolima, encontrar, edición, celsia, puedes, edicio, cliente","tolima, celsia",servicio_cliente,False,True,True,,948aad610f2d,2025-10-15T22:36:56.823678
news_edicion_tolima_13b27eb9,Edición 1 - Tolima,Tolima,comunicacion,ediciones_tolima,15 Oct 2019,Edición 1 - Tolima. En esta edición puedes encontrar: Y cuando vamos a notar mejoras en la calidad del servicio?,Edición 1 - Tolima. En esta edición puedes encontrar: Y cuando vamos a notar mejoras en la calidad del servicio?,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2021/01/Noticias_de_la_Luz_Tolima_octubre_2019-1.pdf,114,20,2,0.5,1.0,0.518,0.788,"tolima, encontrar, servicio, cali, cuando, edición, puedes, edicio","tolima, cali",servicio_cliente,False,True,True,,80ed5d80b5f6,2025-10-15T22:36:56.824811
news_edicion_tolima_f7ca6f03,Edición Especial Tolima,Tolima,comunicacion,ediciones_tolima,7 May 2019,"Edición Especial Tolima. En esta edición puedes encontrar:Muchas geografías, una sola compañía.Así se transformó Celsia para ser La nueva era de la energía .Apasionados por las energías renov...","Edición Especial Tolima. En esta edición puedes encontrar:Muchas geografías, una sola compañía.Así se transformó Celsia para ser La nueva era de la energía .Apasionados por las energías renovables.Entrevista Julián Cadavid, líder de Tranmisión y Distribución: Sumaremos experiencia y tecnología para lograr un servicio más confiable .",newsletter,noticias_celsia,https://www.celsia.com/es/noticias/edicion-especial-tolima/,349,46,5,0.5,1.0,0.62,0.891,"tolima, energi, servicio, renovable, especial, edición, celsia, puedes, edicio","tolima, celsia","servicio_cliente, energia_renovable",False,True,True,,dc5c6414a661,2025-10-15T22:36:56.825974
news_edicion_valle_f395ea70,Edición 24,Valle,comunicacion,ediciones_valle,2 Dic 2024,"Edición 24. En esta edición puedes encontrarLlegaron los aerogeneradores de Celsia, 80 metros de energía! Qué le dirían los embalses de Colombia al árbol de Navidad? No hay nada más bacano que ...","Edición 24. En esta edición puedes encontrarLlegaron los aerogeneradores de Celsia, 80 metros de energía! Qué le dirían los embalses de Colombia al árbol de Navidad? No hay nada más bacano que construir futuro : Fredy Vega, CEO de Platzi.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/12/Noticias-Celsia-Tolima-Noviembre-2024_compressed-1.pdf,245,40,4,0.5,1.0,0.6,0.861,"aerogeneradores, edición, celsia, puedes, edicio, encontrarllegaron",celsia,"infraestructura, energia_renovable",False,True,True,,d6d7cd7ab55a,2025-10-15T22:36:56.903487
news_edicion_valle_21ee28b7,Edición 58 – Valle,Valle,comunicacion,ediciones_valle,2 Dic 2024,"Edición 58 Valle. En esta edición puedes encontrarLlegaron los aerogeneradores de Celsia, 80 metros de energía! Qué le dirían los embalses de Colombia al árbol de Navidad? No hay nada más bacan...","Edición 58 Valle. En esta edición puedes encontrarLlegaron los aerogeneradores de Celsia, 80 metros de energía! Qué le dirían los embalses de Colombia al árbol de Navidad? No hay nada más bacano que construir futuro : Fredy Vega, CEO de Platzi.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/12/Noticias-Celsia-Valle-Noviembre-2024_compressed-1.pdf,251,41,4,0.5,1.0,0.604,0.865,"aerogeneradores, valle, edición, celsia, puedes, edicio, encontrarllegaron","valle, celsia","infraestructura, energia_renovable",False,True,True,,61b188def1d8,2025-10-15T22:36:56.904315
news_edicion_valle_ce1a791d,Edición 57 - Valle,Valle,comunicacion,ediciones_valle,17 Oct 2024,Edición 57 - Valle. En esta edición puedes encontrarEncantados de proteger la biodiversidadEl sistema eléctrico colombiano siempre te da luzIdeas que liberan mucha energía,Edición 57 - Valle. En esta edición puedes encontrarEncantados de proteger la biodiversidadEl sistema eléctrico colombiano siempre te da luzIdeas que liberan mucha energía,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/10/CELSIA-VALLE-OCTUBRE-11-2024-ok_compressed.pdf,175,24,1,0.5,1.0,0.497,0.791,"encontrarencantados, valle, edición, proteger, puedes, edicio",valle,,False,True,True,,f305c5b7ff9d,2025-10-15T22:36:56.904972
news_edicion_valle_0b79020a,Edición 56 - Valle,Valle,comunicacion,ediciones_valle,20 Ago 2024,Edición 56 - Valle. En esta edición puedes encontrar Viste que la tarifa de energía se redujo en julio? Colombia aguantará otra temporada dura de sequía intensa sin apagarse? Te inquieta lo de la...,Edición 56 - Valle. En esta edición puedes encontrar Viste que la tarifa de energía se redujo en julio? Colombia aguantará otra temporada dura de sequía intensa sin apagarse? Te inquieta lo de la factura electrónica?,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/08/Noticias-Celsia-Valle-agosto-2024.pdf,222,36,4,0.5,1.0,0.532,0.843,"encontrar, tarifa, valle, edición, factura, viste, puedes, edicio",valle,"facturacion_tarifas, infraestructura",False,True,True,,3b7a78e340af,2025-10-15T22:36:56.905730
news_edicion_valle_5369b9f1,Edición 55 - Valle,Valle,comunicacion,ediciones_valle,17 May 2024,Edición 55 - Valle. En esta edición puedes encontrar:Edición especial sobre ahorroLa libertad económica es bienestar para todosJugando y ahorrando,Edición 55 - Valle. En esta edición puedes encontrar:Edición especial sobre ahorroLa libertad económica es bienestar para todosJugando y ahorrando,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/05/Noticias-Celsia-Valle-Mayo-Junio2024_Vf-1.pdf,150,20,1,0.5,1.0,0.505,0.78,"encontrar, valle, especial, edición, puedes, edicio",valle,,False,True,True,,c08d0502253b,2025-10-15T22:36:56.906350
news_edicion_valle_23920110,Edición 54 - Valle,Valle,comunicacion,ediciones_valle,5 Feb 2024,Edición 54 - Valle. En esta edición puedes encontrar: Cómo ahorrar energía? la pregunta del millónInternet de calidad para todosUna comunidad educativa renovada: más de 2.000 alumnos beneficiado...,Edición 54 - Valle. En esta edición puedes encontrar: Cómo ahorrar energía? la pregunta del millónInternet de calidad para todosUna comunidad educativa renovada: más de 2.000 alumnos beneficiados,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/02/NOTICIAS-CELSIA-VALLE-FEBRERO-2024.pdf,201,28,3,0.5,1.0,0.571,0.837,"encontrar, internet, cali, valle, edición, puedes, edicio, ahorrar","cali, valle","tecnologia_digital, responsabilidad_social",False,True,True,,99d248251d6e,2025-10-15T22:36:56.907032
